file_name,duration,transcription
227_2886file-id3QmBhOso7Fs.wav,4.95,చెమట శక్తిని మోసిన  గది ప్రస్తుతం కంపు వాసన వస్తుంది
90_2886file-id3QmBhOso7Fs.wav,4.11,ఆచార్య సత్యనారాయణ గారికి
242_2886file-id3QmBhOso7Fs.wav,3.06,నాలాంటి వాడికి  కవిత్వం చాలా కష్టం
189_2886file-id3QmBhOso7Fs.wav,1.35,ముగిసిన ముచ్చట
78_2886file-id3QmBhOso7Fs.wav,3.51,ఆవేశపూరితమైన ఉపన్యాసం చేసేవారు
359_2886file-id3QmBhOso7Fs.wav,5.16,భూమ్ పిల్లలకు చనుబాలు పట్టింది నాకు నమ్మకం
5_2886file-id3QmBhOso7Fs.wav,4.89,రెండు అంటే ఆత్మ తో కూడుకున్న
114_2886file-id3QmBhOso7Fs.wav,2.79,వర్గ శత్రువులకు ఆయుధాలు ఇచ్చారు
311_2886file-id3QmBhOso7Fs.wav,0.96,నా
2_2886file-id3QmBhOso7Fs.wav,1.92,వినిపించే కవిత్వం
101_2886file-id3QmBhOso7Fs.wav,1.4100000000000001,హక్కులకు
152_2886file-id3QmBhOso7Fs.wav,6.21,బహుజన వాదం ఒకప్పటి ప్రగతి మార్గం ప్రజాస్వామ్యం ఇప్పుడు
33_2886file-id3QmBhOso7Fs.wav,1.8900000000000001,కనిపించే దృశ్యాన్ని
61_2886file-id3QmBhOso7Fs.wav,3.87,పొరపాటున కూడా నాతో ఇప్పుడు ఎవరూ చెప్పకండి
182_2886file-id3QmBhOso7Fs.wav,4.47,సుడులు తిరిగే బాధకు సులువైన పరిష్కారాలు ఆలోచించలేదు
214_2886file-id3QmBhOso7Fs.wav,5.85,ఆ గదిని గది గోడలను తడిపితే అమ్మను స్పర్శించిన తన్మయత్వం
351_2886file-id3QmBhOso7Fs.wav,0.96,నేను
293_2886file-id3QmBhOso7Fs.wav,7.92,మనకు చాలామంది మగవాళ్లు ఉన్నదని మురిసిపోతాం అద్భుతమైన గొంతుతో తాను కంఠస్వరంతో
246_2886file-id3QmBhOso7Fs.wav,1.08,శశి
81_2886file-id3QmBhOso7Fs.wav,11.85,కేవలం ఒక క్షణం కాదు జీవితమంతా జీవించే శక్తి ఇంటా బయట మిత్రులు అందరిలోనూ కవితలో కూడా అలాగే ఉండేవి
192_2886file-id3QmBhOso7Fs.wav,3.21,మనుషులు విగ్రహాలు వేరుగా ఉండడం గతం
220_2886file-id3QmBhOso7Fs.wav,4.5600000000000005,గదినిండా అల్మారాల్లో గ్రంధాలు గంధాలు
158_2886file-id3QmBhOso7Fs.wav,0.93,మనని
104_2886file-id3QmBhOso7Fs.wav,1.29,బాధితుల
223_2886file-id3QmBhOso7Fs.wav,8.94,కానీ గదిని నిర్మించిన వాళ్ళు రావద్దన్నారు కానీ గదిని నిర్మించిన వాళ్ళు రావద్దన్నారు
284_2886file-id3QmBhOso7Fs.wav,6.33,ఆశ స్వప్నాల్లో నిద్రించిన కాలం  నిత్య సాహితీ సేద్యం చేస్తుంది
249_2886file-id3QmBhOso7Fs.wav,1.6800000000000002,నిన్న నాగ
134_2886file-id3QmBhOso7Fs.wav,2.1,నీ గుడ్డి నమ్మకం
2_259_2886file-id3QmBhOso7Fs.wav,4.23,మీరు సర్వీస్ చేస్తున్నారు  లోనే ఉన్నారు
301_2886file-id3QmBhOso7Fs.wav,1.53,సమయంలో
345_2886file-id3QmBhOso7Fs.wav,5.49,అయినా ఎవరి అంతరిక్షం వారిదే ఒకప్పుడు చంద్రం మీద
325_2886file-id3QmBhOso7Fs.wav,1.05,నిన్ననే
283_2886file-id3QmBhOso7Fs.wav,2.25,నిత్యం సత్యాన్నే ధ్వనిస్తుంది
18_2886file-id3QmBhOso7Fs.wav,10.05,ముందుకు నడుపుతుంది చేయడానికి  ప్రయత్నం చేస్తుంది
113_2886file-id3QmBhOso7Fs.wav,2.73,నిన్నటి అన్నదమ్ములు అమ్ముడై
136_2886file-id3QmBhOso7Fs.wav,1.2,చిట్టి తండ్రి
235_2886file-id3QmBhOso7Fs.wav,9.0,కూడుకున్న అంశాలను  జోడించి తనదైన ప్రత్యేకతను చెప్పుకున్నారు మంచి ఇప్పటివరకు వచ్చిన కవిత్వం విన్నా
343_2886file-id3QmBhOso7Fs.wav,1.05,అయినా
266_2886file-id3QmBhOso7Fs.wav,5.01,తీసుకువచ్చి నాట్యం చేస్తున్న వాళ్ళను మీరు ఇలా తిడతారా
